,feature,fold_1,fold_2,fold_3,average
0,song_id,5641,5512,5727,5626.666666666667
1,source_system_tab,86,96,94,92.0
2,source_screen_name,394,351,334,359.6666666666667
3,source_type,243,288,317,282.6666666666667
4,genre_ids,472,383,409,421.3333333333333
5,language,122,82,105,103.0
6,city,265,354,378,332.3333333333333
7,registered_via,41,59,49,49.666666666666664
8,registration_year,65,64,68,65.66666666666667
9,expiration_year,54,48,52,51.333333333333336
10,membership_days,11596,11829,11580,11668.333333333334
11,song_year,432,367,331,376.6666666666667
12,play_count,255,213,222,230.0
13,play_count_artist,158,133,115,135.33333333333334
14,play_count_msno,576,621,619,605.3333333333334
